Removed Pin From Net: NetName=GND Pin=IC1-0
Change Component Comment : Designator=R6 Old Comment=10k New Comment=100R
Change Component Comment : Designator=R11 Old Comment=10k New Comment=100R
Change Component Comment : Designator=R12 Old Comment=10k New Comment=100R
Change Component Comment : Designator=H10 Old Comment=Header 2P 2.54 Duc Cong New Comment=Header 2P 2.54
Change Component Comment : Designator=H3 Old Comment=Header 3P 2.54 Duc Thang New Comment=Header 3P 2.54
Change Component Comment : Designator=H6 Old Comment=Header 3P 2.54 Duc Thang New Comment=Header 3P 2.54
Change Component Comment : Designator=H2 Old Comment=Header 4P 2.54 Duc Thang New Comment=Header 4P 2.54
Change Component Comment : Designator=H4 Old Comment=Header 4P 2.54 Duc Thang New Comment=Header 4P 2.54
Change Component Comment : Designator=H5 Old Comment=Header 4P 2.54 Duc Thang New Comment=Header 4P 2.54
Change Component Comment : Designator=H7 Old Comment=Header 4P 2.54 Duc Thang New Comment=Header 4P 2.54
Change Component Comment : Designator=H9 Old Comment=Header 4P 2.54 Duc Thang New Comment=Header 4P 2.54
Change Component Comment : Designator=H1 Old Comment=Header 6P 2.54 Duc Thang New Comment=Header 6P 2.54
Change Component Comment : Designator=H8 Old Comment=Header 7P 2.54 Duc Thang New Comment=Header 7P 2.54
Change Component Description : Designator=H1 Old Description=C?m New Description=C?m
Change Component Description : Designator=H2 Old Description=C?m New Description=C?m
Change Component Description : Designator=H3 Old Description=C?m New Description=C?m
Change Component Description : Designator=H4 Old Description=C?m New Description=C?m
Change Component Description : Designator=H5 Old Description=C?m New Description=C?m
Change Component Description : Designator=H6 Old Description=C?m New Description=C?m
Change Component Description : Designator=H7 Old Description=C?m New Description=C?m
Change Component Description : Designator=H8 Old Description=C?m New Description=C?m
Change Component Description : Designator=H9 Old Description=C?m New Description=C?m
Change Component Description : Designator=H10 Old Description=C?m New Description=C?m
Change component parameters: Designator = "Q1" ("Q1"); Footprint = "SOT23"; UniqueID = "\COGKWAWA" ("\COGKWAWA")
Change component parameters (AddParameter): Name = "Value"; Value = "C9014"; VariantName = "[No Variations]"
Change component parameters: Designator = "BT1" ("BT1"); Footprint = "Nut Nhan 4 Chan SMD 6x6"; UniqueID = "\MMPQVUXO" ("\MMPQVUXO")
Change component parameters (AddParameter): Name = "Ma_Hang"; Value = "MH002424"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ten"; Value = "Nút Nh?n 4 Chân 6.2x6.2x3.1MM SMD"; VariantName = "[No Variations]"
Change component parameters: Designator = "BT2" ("BT2"); Footprint = "Nut Nhan 4 Chan SMD 6x6"; UniqueID = "\XEFAGOJD" ("\XEFAGOJD")
Change component parameters (AddParameter): Name = "Ma_Hang"; Value = "MH002424"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ten"; Value = "Nút Nh?n 4 Chân 6.2x6.2x3.1MM SMD"; VariantName = "[No Variations]"
Change component parameters: Designator = "BT3" ("BT3"); Footprint = "Nut Nhan 4 Chan SMD 6x6"; UniqueID = "\KJGQHBDV" ("\KJGQHBDV")
Change component parameters (AddParameter): Name = "Ma_Hang"; Value = "MH002424"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ten"; Value = "Nút Nh?n 4 Chân 6.2x6.2x3.1MM SMD"; VariantName = "[No Variations]"
Change component parameters: Designator = "C1" ("C1"); Footprint = "tu 0805"; UniqueID = "\WTMQPMTK" ("\WTMQPMTK")
Change component parameters (AddParameter): Name = "Chung_Loai"; Value = "Dán"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Don_Vi"; Value = "Con"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Kieu_Chan"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ma_Hang"; Value = "MH004551"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "So_Chan"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ten_Linh_Kien"; Value = "T? 0805 104-100nF 10% 50V"; VariantName = "[No Variations]"
Change component parameters: Designator = "C2" ("C2"); Footprint = "tu 0805"; UniqueID = "\SAVKUDJG" ("\SAVKUDJG")
Change component parameters (AddParameter): Name = "Chung_Loai"; Value = "Dán"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Don_Vi"; Value = "Con"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Kieu_Chan"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ma_Hang"; Value = "MH004551"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "So_Chan"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ten_Linh_Kien"; Value = "T? 0805 104-100nF 10% 50V"; VariantName = "[No Variations]"
